link;idObra;idObra2;
follows;4297;2965;
follows;1823;3006;
follows;1828;3028;
follows;2824;3028;
follows;1445;3028;
follows;3474;3028;
follows;2820;3149;
follows;3362;3184;
follows;4297;3184;
follows;3344;3345;
follows;4297;3362;
follows;3233;3417;
follows;2699;3418;
follows;3230;3547;
follows;3;3700;
follows;4017;4339;
follows;3637;4393;
follows;4393;4394;
follows;3637;4394;
follows;4869;5020;
follows;5173;5171;
follows;5172;5171;
follows;5172;5173;
follows;75;5461;
follows;5524;5523;
follows;5523;5525;
follows;5524;5525;
follows;2333;5654;
referenced in;4365;118;
referenced in;5113;216;
referenced in;493;453;
referenced in;726;453;
referenced in;5284;1189;
referenced in;1707;1244;
referenced in;4755;1244;
referenced in;3162;1505;
referenced in;5342;1519;
referenced in;1552;1519;
referenced in;214;1589;
referenced in;1847;1719;
referenced in;2730;1797;
referenced in;758;1797;
referenced in;1730;1797;
referenced in;3452;1797;
referenced in;2797;1797;
referenced in;2925;1865;
referenced in;4872;1865;
referenced in;5368;1995;
referenced in;985;2187;
referenced in;3622;2187;
referenced in;858;2513;
referenced in;4365;2552;
referenced in;3001;2552;
referenced in;5219;2552;
referenced in;858;2984;
referenced in;118;3001;
referenced in;1962;3056;
referenced in;573;3157;
referenced in;2899;3157;
referenced in;3660;3471;
referenced in;3017;3572;
referenced in;2761;4423;
referenced in;3017;4652;
referenced in;3663;4896;
referenced in;2760;5193;
referenced in;2943;5193;
referenced in;4617;5218;
referenced in;1436;5218;
referenced in;3235;5218;
referenced in;474;5218;
referenced in;4023;5219;
referenced in;3082;5339;
references;3001;118;
references;1589;214;
references;1519;425;
references;5218;474;
references;453;493;
references;3157;573;
references;3555;577;
references;1557;577;
references;3622;577;
references;3700;577;
references;453;726;
references;1797;758;
references;2513;858;
references;2984;858;
references;2187;985;
references;390;1138;
references;262;1142;
references;3322;1142;
references;5218;1436;
references;1519;1552;
references;1244;1707;
references;1797;1730;
references;1719;1847;
references;3056;1962;
references;3548;2311;
references;1557;2533;
references;1797;2730;
references;5193;2760;
references;4423;2761;
references;1797;2797;
references;3157;2899;
references;1865;2925;
references;5193;2943;
references;2552;3001;
references;3572;3017;
references;5339;3082;
references;1505;3162;
references;5218;3235;
references;1797;3452;
references;2187;3622;
references;3471;3660;
references;4896;3663;
references;340;3796;
references;5219;4023;
references;118;4365;
references;2552;4365;
references;5218;4617;
references;1244;4755;
references;1865;4872;
references;216;5113;
references;2552;5219;
references;1189;5284;
references;1519;5342;
references;1995;5368;
remade as;2873;1952;
remade as;2736;2735;
remade as;3550;5637;
remake of;2735;2736;
remake of;1952;2873;
remake of;5637;3550;
spin off;9;2813;
spoofs;1907;4596;
version of;881;73;
version of;798;796;
version of;796;798;
version of;73;881;
version of;1333;1396;
version of;2783;2782;
version of;3744;2908;
version of;3160;3160;
version of;2908;3744;
version of;4508;4246;
version of;4246;4508;
version of;1333;5287;
