role;idPer;idObra;
actor;10631;1255;
actor;10631;1540;
actor;10631;1670;
actor;10631;1779;
actor;10631;2000;
actor;10631;2079;
actor;10631;2093;
actor;10631;2185;
actor;10631;2674;
actor;10631;3036;
actor;10631;3093;
actor;10631;3161;
actor;10631;3250;
actor;10631;3617;
actor;10631;3657;
actor;10631;3987;
actor;10631;4076;
actor;10631;4202;
actor;10631;4218;
actor;10631;4317;
actor;10631;4597;
actor;10631;4791;
actor;10631;4876;
actor;10631;5091;
actor;10631;5218;
actor;10631;5292;
actor;10631;606;
actor;10631;965;
actor;10632;638;
actor;10634;4447;
actor;10635;2818;
actor;10636;3890;
actor;10637;2983;
actor;10637;5322;
actor;10638;3308;
actor;10638;4746;
actor;10638;5018;
actor;10639;2226;
actor;10641;4553;
actor;10642;2016;
actor;10643;3334;
actor;10644;5217;
actor;10645;4403;
actor;10646;2247;
actor;10647;1041;
actor;10647;1270;
actor;10647;1531;
actor;10647;167;
actor;10647;2034;
actor;10647;2064;
actor;10647;222;
actor;10647;234;
actor;10647;2759;
actor;10647;279;
actor;10647;2805;
actor;10647;3003;
actor;10647;3021;
actor;10647;3128;
actor;10647;317;
actor;10647;3632;
actor;10647;4136;
actor;10647;4267;
actor;10647;4317;
actor;10647;4686;
actor;10647;4753;
actor;10647;4779;
actor;10647;5057;
actor;10647;5163;
actor;10647;5334;
actor;10647;5456;
actor;10647;600;
actor;10647;607;
actor;10647;964;
actor;10649;1045;
actor;10649;1069;
actor;10649;14;
actor;10649;1633;
actor;10649;1814;
actor;10649;2224;
actor;10649;2414;
actor;10649;24;
actor;10649;2531;
actor;10649;2798;
actor;10649;3605;
actor;10649;3920;
actor;10649;4266;
actor;10649;4298;
actor;10649;4639;
actor;10649;47;
actor;10649;4891;
actor;10649;5377;
actor;10649;54;
actor;10649;5632;
actor;10649;57;
actor;10649;58;
actor;10649;59;
actor;10649;60;
actor;10649;61;
actor;10649;631;
actor;10649;649;
actor;10651;5290;
actor;10653;2615;
actor;10653;3477;
actor;10654;1365;
actor;10655;1681;
actor;10656;33;
actor;10656;996;
actor;10660;4046;
actor;10662;1308;
actor;10665;785;
actor;10667;2391;
actor;1066;1117;
actor;1066;1350;
actor;1066;1549;
actor;1066;178;
actor;1066;2554;
actor;1066;2665;
actor;1066;2832;
actor;1066;3543;
actor;1066;3593;
actor;1066;3793;
actor;1066;3881;
actor;1066;3969;
actor;1066;5043;
actor;1066;5091;
actor;1066;5543;
actor;1066;591;
actor;1066;734;
actor;10672;4214;
actor;10673;3378;
actor;10674;2402;
actor;10674;274;
