series_years_ini;series_years_fin;idObra;
1984;????;1559;
1987;????;1560;
1997;????;1573;
1980;????;1575;
1985;1986;1578;
1997;1998;1595;
1994;1995;1598;
1997;????;1600;
1990;1992;1602;
1993;????;1606;
1999;????;1607;
1993;1998;1608;
1994;????;1616;
1980;????;1640;
1978;1979;1642;
1997;1998;1646;
1998;2002;1651;
1992;????;1652;
1994;????;1657;
1983;1984;1658;
1997;????;1662;
1991;1993;1663;
1993;????;1664;
1982;1983;1666;
1998;2001;1669;
1978;1979;1672;
1997;1999;1675;
1984;1987;1676;
1994;1996;1684;
1981;1983;1689;
1982;????;1698;
1987;1988;1705;
1990;????;1710;
1983;????;1711;
1992;1993;1716;
1994;1995;1715;
1991;????;1717;
1990;????;1721;
1977;1978;1731;
1989;????;1735;
1976;1980;1736;
1975;1976;1737;
1986;1987;1738;
1997;????;1729;
1989;1990;1748;
1990;????;1750;
1988;1989;1755;
1995;????;1762;
1977;????;1766;
1993;1994;1779;
1988;????;1785;
1988;????;1800;
1996;2003;1802;
1989;1995;1806;
1994;1996;1808;
1996;1998;1809;
1991;1992;1810;
1997;????;1813;
1997;1998;1778;
1991;????;1396;
1975;????;1815;
1995;????;1817;
1977;1978;1819;
1995;????;1822;
1991;1994;1825;
1994;????;1826;
1990;????;1827;
1999;2006;1840;
1989;1990;1841;
1990;1991;1845;
1999;????;1848;
1995;1999;1853;
1994;????;1866;
1979;????;1855;
1999;????;1858;
1997;????;1867;
1992;1993;1868;
1993;????;1885;
1991;????;1886;
1989;1990;1860;
1998;1999;1861;
1996;1999;1884;
1997;2004;1893;
1989;????;1902;
1987;1992;1903;
1999;2000;1904;
1999;????;1398;
1994;1995;1910;
1982;1983;1913;
1993;????;1916;
1987;????;1941;
1983;1984;1954;
1991;????;1423;
1999;????;1927;
1996;????;1958;
1999;????;1971;
1991;????;1974;
1996;2000;1987;
1997;1998;1989;
1990;1991;1991;
1994;2005;1992;
1995;????;1996;
1999;????;1998;
1982;????;1999;
1998;????;2001;
1995;????;2002;
1999;????;2005;
1985;1986;2008;
1981;1982;2009;
1997;????;2010;
1987;1988;2011;
1985;????;2013;
1987;????;2014;
1993;????;2018;
1985;????;2019;
1997;????;2023;
1982;1984;2024;
1997;????;2026;
1996;????;2030;
1993;1994;2032;
1992;????;2033;
1986;????;2035;
1976;1981;2038;
1982;1984;2039;
1988;1990;2041;
1985;????;2044;
1999;2000;2043;
1995;????;2045;
1999;????;2049;
1985;1992;2050;
1998;????;2052;
1988;1989;2057;
1998;????;2058;
1997;????;2048;
1998;????;2059;
1986;????;2060;
1991;1993;2063;
1997;????;2068;
1995;????;2073;
1998;????;2076;
1990;????;2092;
1978;????;2097;
1986;????;2098;
1978;1979;2102;
1979;????;2112;
1984;????;2116;
1975;1977;2119;
1999;2004;2120;
1987;1988;2125;
1998;2005;2127;
1988;????;2128;
1994;????;2133;
1980;????;2134;
1983;????;2135;
1997;????;2138;
1996;????;2141;
1997;1998;2142;
1983;????;2153;
1990;1991;2155;
1995;1997;2158;
1986;????;2157;
1981;1982;2161;
1976;1977;2159;
1995;????;2160;
1982;1983;2163;
1994;1999;2165;
1984;????;2169;
1995;1997;2170;
1999;????;2171;
1994;????;2172;
1998;????;2174;
1993;1994;2175;
1975;1976;2176;
1992;1993;2178;
1994;????;2183;
1985;????;2185;
1995;1996;2186;
1999;????;2188;
1994;????;2189;
1993;????;2190;
1995;????;2182;
1984;1985;2192;
1991;????;2197;
1992;????;2198;
1977;????;2199;
1990;1999;2200;
1988;1993;2205;
1987;????;2206;
1998;????;2208;
1977;????;2210;
1990;1991;2212;
1982;1983;2217;
1981;????;2231;
1997;1998;2232;
1996;????;2233;
1988;????;2235;
1998;????;2246;
1999;????;2250;
1992;1993;2251;
1999;????;2254;
1992;????;2256;
1978;1981;2257;
1991;1995;2258;
1991;????;2260;
1992;????;2261;
1994;????;2263;
1999;????;2268;
1998;2000;2269;
1998;????;2276;
1984;1987;2279;
1979;????;2280;
1997;????;2281;
1996;????;2283;
1999;????;2286;
1983;1984;2290;
1986;1989;2291;
1985;1987;2293;
1993;1994;2301;
1999;????;2302;
1991;????;2304;
1988;1989;2243;
1986;1987;2307;
1980;????;2311;
1994;????;2310;
1984;????;2315;
1994;2007;2324;
1995;????;2330;
1995;????;2337;
1994;????;2338;
1989;????;2340;
1998;????;2342;
1991;1992;2348;
1994;????;2309;
1981;1982;2346;
1994;????;2347;
1997;1998;2344;
1996;1997;2345;
1979;1981;2351;
1996;????;2352;
1985;????;2353;
1995;1996;2354;
1991;????;2355;
1985;????;2356;
1986;????;2357;
1998;????;2358;
1991;????;2359;
1993;????;2360;
1985;????;2361;
1991;????;2362;
1997;????;2363;
1988;????;2373;
1997;????;2379;
1985;????;2380;
1994;1995;2383;
1999;2001;2385;
1993;????;2386;
1976;1981;2387;
1995;????;2388;
1995;????;2395;
1989;1991;2398;
1994;????;2402;
1997;1999;2403;
1981;1982;2404;
1992;1993;2405;
1994;????;2410;
1985;????;2416;
1992;????;2417;
1997;????;2418;
1989;????;2422;
1994;????;2423;
1980;????;2425;
1995;????;2427;
1994;????;2428;
1992;????;2432;
1993;1994;2455;
1987;1991;2462;
1996;1997;2463;
1991;1993;2465;
1990;1993;2466;
1999;2000;2467;
1984;????;2468;
1990;????;2469;
1977;1982;2470;
1996;????;2474;
1997;????;2476;
1999;2000;2481;
1991;????;2485;
1985;????;2494;
1998;????;2500;
1994;????;2501;
1993;1996;2502;
1994;????;2511;
1990;????;2517;
1999;2000;2518;
1994;????;2520;
1995;????;2522;
1988;????;2525;
1986;1987;2528;
1978;????;2529;
1984;1987;2533;
1997;????;2537;
1996;????;2538;
1985;????;2546;
1999;????;2549;
1977;1979;2554;
1995;1996;2556;
1999;2003;2557;
1980;????;2558;
1977;1981;2560;
1996;????;2561;
1996;1998;2562;
1990;????;2566;
1998;????;2567;
1998;????;2568;
1997;????;2569;
1976;????;2570;
1996;????;2571;
1990;????;2580;
1991;1992;2581;
1998;2000;2584;
1993;????;2585;
1991;????;2588;
1985;????;2594;
1984;????;2595;
1993;????;2612;
1988;????;2615;
1998;????;2620;
1989;????;2638;
1986;????;2639;
1997;1998;2640;
1991;????;2633;
1994;????;2634;
1978;1981;2635;
1999;2001;2642;
1980;1982;2653;
1990;????;2654;
1991;1993;2657;
1992;1998;2660;
1995;????;2669;
1996;????;2691;
1990;1991;2646;
1990;????;2698;
1997;????;2701;
1997;????;2713;
1984;1991;2714;
1992;????;2721;
1988;1989;2728;
1991;????;2729;
1988;1991;2732;
1992;????;2740;
1989;????;2743;
1995;????;2744;
1982;????;2747;
1995;????;2750;
1994;1996;2751;
1997;1998;2759;
1985;????;2766;
1996;????;2767;
1993;????;3313;
1989;????;3403;
1992;????;3429;
1996;2006;3435;
1997;????;3436;
1995;????;3469;
1996;????;3477;
1987;????;3482;
1982;????;3483;
1987;????;3484;
1987;????;3485;
1987;????;3526;
1996;1998;3644;
1997;????;2775;
1994;????;2776;
1992;????;2807;
1985;????;2808;
1997;????;2813;
1990;1996;2815;
1979;????;2816;
1993;1994;2818;
1984;1988;2830;
1981;????;2831;
1997;????;2832;
1998;????;2835;
1997;1999;2851;
1993;????;2854;
1996;2000;2856;
1989;1990;2860;
1983;????;2782;
1986;1987;2865;
1993;????;2871;
1989;????;2880;
1976;1991;2881;
1990;????;2882;
1995;1998;2883;
1986;????;2886;
1985;????;2887;
1983;1984;2888;
1981;1983;2889;
1989;1990;2895;
1999;2000;2897;
1981;????;2785;
1984;????;2904;
1995;1996;2905;
1983;1985;2920;
1978;????;2786;
1996;????;2787;
1987;????;2932;
1990;????;2944;
1998;????;2788;
1999;????;2956;
1989;1992;2959;
1975;1977;2960;
1990;1993;2961;
1997;1999;2974;
1975;????;2976;
1987;1988;2978;
1988;1989;2977;
1996;1997;2972;
1998;????;3008;
1987;????;3009;
1993;1996;2790;
1989;????;3012;
1992;????;3014;
1979;????;3016;
1989;1990;3020;
1997;????;3029;
1979;1981;3032;
1986;????;3045;
1999;1999;3044;
1990;1994;3048;
1997;????;3051;
1993;1994;3034;
1982;????;3039;
1989;????;3077;
1996;????;3078;
1997;????;3079;
1998;????;3080;
1995;1996;3083;
1997;????;3086;
1984;1986;3087;
1998;????;3092;
1996;????;3093;
1992;1993;3094;
1995;????;3095;
1999;????;2794;
1989;????;3096;
1976;????;3104;
1984;????;3108;
1996;????;3112;
1988;????;3114;
1989;1990;3118;
1996;2001;3120;
1990;????;3126;
1992;????;3127;
1999;????;3128;
1987;????;3130;
1996;????;3136;
1993;1994;3138;
1982;1984;3143;
1990;1993;3150;
1988;????;3156;
1995;????;3161;
1993;????;3166;
1996;????;3167;
1991;????;3169;
1998;1999;3173;
1990;1997;3174;
1997;????;3177;
1976;????;3178;
1990;????;3181;
1978;1979;3185;
1998;????;3187;
1994;????;3188;
1976;1977;3189;
1997;????;3205;
1994;????;3210;
1983;1989;3211;
1990;????;3209;
1994;????;3212;
1984;????;3221;
1990;????;3223;
1995;????;3227;
1999;????;3232;
1979;????;3247;
1997;????;3252;
1989;1992;3254;
1992;1993;3255;
1995;????;3261;
1988;????;3264;
1997;????;3270;
1986;1988;3279;
1999;????;3280;
1981;????;3281;
1981;1984;3274;
1998;2000;3287;
1991;????;3290;
1987;????;3305;
1987;????;3306;
1986;????;3310;
1992;1994;3321;
1986;????;3325;
1976;????;3327;
1978;????;3331;
1991;1992;3336;
1999;????;3341;
1989;????;3342;
1983;1985;3343;
1989;????;3349;
1995;????;3360;
1999;????;3363;
1993;1994;3364;
1991;????;3366;
1991;????;3368;
1983;????;3372;
1977;1978;3377;
1998;1999;3381;
1977;????;3392;
1998;1999;3399;
1989;????;3414;
1983;????;3423;
1977;1978;3431;
1987;1989;3434;
1983;1984;3437;
1997;2000;3440;
1980;????;3442;
1986;????;3443;
1981;????;3448;
1980;????;3449;
1991;????;3450;
1995;2003;3453;
1984;1986;3460;
1993;????;3428;
1994;????;3473;
1993;1996;3487;
1991;????;3495;
1993;1994;3497;
1975;????;3498;
1978;????;3501;
1993;????;3502;
1995;????;3503;
1995;????;3499;
1995;2005;3505;
1995;????;3508;
1995;????;3509;
1997;1998;3510;
1993;1999;3511;
1994;????;3512;
1998;2000;3513;
1998;????;3519;
1990;1991;3520;
1997;????;3521;
1997;????;3522;
1987;1988;3530;
1990;2005;3535;
1986;????;3547;
1992;????;3546;
1993;????;3558;
1999;????;3561;
1983;????;3564;
1994;????;3565;
1992;1993;3569;
1986;1988;3570;
1979;????;3573;
1978;1979;3574;
1990;????;3576;
1990;????;3537;
1981;1982;3580;
1991;????;3585;
1990;1990;3589;
1993;????;3590;
1998;2002;3592;
1982;1991;3599;
1979;????;3600;
1988;1990;3602;
1990;????;3603;
1997;????;3604;
1976;????;3605;
1985;????;3615;
1994;????;3624;
1983;1985;3629;
1990;1991;3631;
1991;????;3635;
1989;????;3636;
1994;1995;3638;
1992;????;3647;
1989;????;3649;
1992;1994;3664;
1990;????;3665;
1995;????;3674;
1981;1982;3307;
1991;????;3480;
1993;????;3481;
1986;????;3646;
1993;????;3685;
1988;????;3689;
1996;????;3690;
1988;????;3691;
1994;????;3693;
1998;????;3697;
1995;????;3701;
1997;2000;3707;
1999;2004;3729;
1997;????;3720;
1989;????;3735;
1981;????;3738;
1997;????;3741;
1991;????;3746;
1995;????;3749;
1996;????;3753;
1980;????;3758;
1998;????;3759;
1997;????;3764;
1992;????;3765;
1994;????;3766;
1998;????;3774;
1999;????;3775;
1984;1985;3777;
1989;????;3810;
1990;????;3813;
1997;????;3815;
1993;????;3730;
1996;????;3731;
1992;????;3818;
1999;????;3822;
1985;1986;3827;
1986;????;3829;
1999;2000;3831;
1997;????;3832;
1978;????;3840;
1992;1993;3845;
1995;????;3851;
1996;1998;3852;
1995;????;3853;
1993;1994;3858;
1988;????;3859;
1985;????;3866;
1977;????;3881;
1994;????;3887;
1988;????;3901;
1989;????;3902;
1991;????;3904;
1997;????;3907;
1996;????;3910;
1999;2001;3911;
1986;????;3913;
1991;????;3917;
1990;????;3918;
1997;????;3919;
1980;????;3922;
1999;????;3924;
1977;1981;3925;
1981;1992;3931;
1994;????;3936;
1983;????;3937;
1993;1994;3939;
1995;2001;3941;
1997;????;3943;
1992;????;3944;
1986;????;3945;
1992;????;3947;
1999;????;3948;
1993;????;3950;
1986;????;3952;
1997;????;3972;
1994;????;3974;
1996;1999;3981;
1990;????;3983;
1995;2009;3992;
1977;????;3993;
1978;1980;3994;
1980;1983;4006;
1980;????;4007;
1977;1978;4009;
1987;1988;4010;
1987;1988;4013;
1986;????;3696;
1990;????;3695;
1976;1981;3789;
1988;1989;3790;
1998;????;3792;
1997;1999;3793;
1995;????;3795;
1979;1987;3796;
1995;1999;3830;
1999;2001;3926;
1995;????;3946;
1994;????;3957;
