series_years_ini;series_years_fin;idObra;
1989;????;5188;
1999;????;5189;
1993;????;5191;
1986;1987;5192;
1993;1994;5194;
1998;2000;5196;
1996;1998;5202;
1996;????;5204;
1998;????;5206;
1999;????;5207;
1999;????;5210;
1999;????;5211;
1976;1979;5215;
1982;????;5222;
1994;????;5223;
1986;????;5224;
1989;????;5225;
1999;2003;5022;
1994;????;5246;
1999;2000;5250;
1977;????;5252;
1995;????;5254;
1990;????;5256;
1987;1989;5261;
1995;????;5262;
1984;????;5263;
1989;????;5264;
1988;1991;5269;
1987;????;5270;
1993;????;5272;
1979;1980;5275;
1989;1991;5276;
1999;????;5277;
1984;1986;5279;
1986;1986;5281;
1993;????;5285;
1988;????;5287;
1986;1987;5300;
1996;????;5299;
1990;1992;5301;
1997;1998;5095;
1997;2004;5209;
1989;????;5324;
1990;1993;5330;
1993;????;5332;
1983;????;5336;
1992;????;5346;
1998;????;5351;
1998;1999;5352;
1995;????;5353;
1994;????;5355;
1979;1983;5357;
1995;????;5366;
1990;????;5359;
1985;1987;5360;
1995;????;5361;
1999;????;5362;
1999;????;5374;
1993;1994;5377;
1998;1999;5391;
1994;????;5392;
1993;????;5400;
1991;????;5401;
1986;????;5405;
1995;1996;5412;
1994;1995;5419;
1985;????;5421;
1991;????;5438;
1994;1994;5440;
1995;????;5443;
1995;1996;5445;
1982;1984;5453;
1993;1995;5463;
1981;1982;5467;
1992;1993;5468;
1997;????;5469;
1995;????;5471;
1994;????;5472;
1994;????;5474;
1989;????;5475;
1992;????;5476;
1995;????;5477;
1987;????;5482;
1999;2000;5485;
1993;????;5488;
1984;????;5489;
1986;????;5490;
1990;????;5491;
1981;1982;5492;
1999;????;5494;
1982;1983;5497;
1995;????;5498;
1994;1995;5500;
1991;1992;5501;
1998;????;5502;
1992;????;5487;
1999;????;5508;
1996;????;5516;
1988;????;5517;
1987;????;5528;
1998;????;5529;
1996;????;5534;
1984;????;5538;
1994;????;5541;
1994;????;5543;
1990;????;5545;
1990;1992;5550;
1990;1992;5454;
1987;????;5561;
1987;????;5562;
1982;????;5563;
1990;1991;5565;
1996;????;5566;
1990;????;5567;
1991;1993;5569;
1987;????;5570;
1992;????;5572;
1991;1993;5573;
1999;????;5574;
1995;????;5575;
1988;????;5577;
1978;1988;5579;
1977;1978;5582;
1992;1993;5584;
1992;1993;5536;
1975;1976;5585;
1981;1982;5587;
1993;????;5595;
1985;1987;5592;
1993;????;5593;
1977;1984;5594;
1994;????;5597;
1996;1997;5598;
1999;2000;5505;
1990;1998;5533;
1982;????;5535;
1989;2000;5601;
1993;1994;5611;
1994;????;5616;
1999;????;5617;
1987;????;5618;
1998;2000;5620;
1982;????;5614;
1992;????;5622;
1994;????;5623;
1992;????;5624;
1990;1991;5625;
1983;1985;5630;
1997;1998;5632;
1989;????;5640;
1985;1986;5639;
1977;1978;5647;
1984;????;5653;
1996;????;5657;
1999;????;5659;
1995;????;5666;
1997;????;5667;
1989;1990;5668;
1998;????;5670;
1993;????;5671;
1993;????;5672;
1995;1996;5673;
1994;????;8;
1994;????;10;
1992;1994;15;
1998;????;16;
1995;2005;20;
1999;2000;21;
1995;1998;22;
1987;????;23;
1999;????;25;
1995;1996;34;
1995;????;33;
1994;????;101;
1994;1995;102;
1993;1994;105;
1994;1995;106;
1995;????;109;
1997;????;112;
1999;????;124;
1999;????;120;
1976;1977;121;
1993;2000;116;
1985;1986;119;
1993;1994;126;
1981;1987;128;
1994;????;130;
1998;????;131;
1993;1994;132;
1999;????;265;
1984;1988;397;
1996;????;401;
1994;????;169;
1994;????;264;
1996;????;2080;
1996;1997;2173;
1994;????;2637;
1983;1984;5306;
1977;????;5307;
1989;????;5311;
