keyword;idObra;
action;122;
action;118;
action;499;
action;2081;
action;2162;
action;5310;
adult;2612;
adult;4974;
adult;1153;
adult;1226;
adult;1278;
adult;1279;
adult;1280;
adult;1281;
adult;1283;
adult;99;
adult;143;
adult;206;
adult;209;
adult;210;
adult;216;
adult;253;
adult;254;
adult;234;
adult;258;
adult;312;
adult;314;
adult;324;
adult;354;
adult;372;
adult;381;
adult;382;
adult;406;
adult;418;
adult;426;
adult;427;
adult;453;
adult;456;
adult;507;
adult;518;
adult;529;
adult;542;
adult;544;
adult;543;
adult;552;
adult;582;
adult;583;
adult;587;
adult;622;
adult;636;
adult;650;
adult;653;
adult;655;
adult;658;
adult;559;
adult;843;
adult;693;
adult;722;
adult;730;
adult;733;
adult;775;
adult;788;
adult;790;
adult;791;
adult;803;
adult;805;
adult;808;
adult;811;
adult;836;
adult;847;
adult;858;
adult;866;
adult;879;
adult;929;
adult;944;
adult;945;
adult;946;
adult;1001;
adult;1006;
adult;1016;
adult;1030;
adult;1040;
adult;1050;
adult;1059;
adult;1081;
adult;1103;
adult;1104;
adult;1124;
adult;1125;
adult;1133;
adult;1181;
adult;1218;
adult;1225;
adult;1236;
adult;1237;
adult;1330;
adult;1337;
adult;1270;
adult;1383;
adult;1406;
adult;1420;
adult;1430;
adult;1445;
adult;1456;
adult;1457;
adult;1468;
adult;1473;
adult;1480;
adult;1491;
adult;1550;
adult;1569;
adult;1587;
adult;1589;
adult;1596;
adult;1390;
adult;1612;
adult;1632;
adult;1644;
adult;1655;
adult;1670;
adult;1679;
adult;1687;
adult;1691;
adult;1394;
adult;1707;
adult;1708;
adult;1709;
adult;1722;
adult;1751;
adult;1769;
adult;1782;
adult;1783;
adult;1790;
adult;1789;
adult;1821;
adult;1844;
adult;1851;
adult;1865;
adult;1895;
adult;1911;
adult;1938;
adult;1952;
adult;1924;
adult;1961;
adult;1972;
adult;1982;
adult;1986;
adult;1990;
adult;1995;
adult;2006;
adult;2042;
adult;2046;
adult;2055;
adult;2062;
adult;2084;
adult;2086;
adult;2096;
adult;2099;
adult;2143;
adult;2152;
